shidu,wendu,shineiwendu,ziwaixian,fushe,fengsu,fengxiang
35.962,18.207,26.4,-55.291,185.9,0.404,315.696
35.462,18.274,25.4,-55.489,89.95,0.706,287.984
33.534,18.528,26,-55.299,53.975,0.705,357.984
35.5,18.294,26.3,-55.404,53.975,0.506,296.56
36.462,17.548,24.4,-55.472,23.988,0.608,348.272
39.5,16.812,22.2,-55.333,5.997,0,324
46.75,15.421,20.5,-55.297,0,0,324
48.25,14.791,19.5,-55.373,0,0.201,325.696
53.25,13.894,18.5,-55.273,0,0,324
57.5,12.877,17.5,-55.385,0,0,324
58.25,12.29,16.6,-55.354,0,0,324
62,11.331,15.6,-55.322,0,0,324
64.5,10.322,14.8,-55.381,0,0,324
68.5,9.586,14.2,-55.454,0,0,324
68.5,9.465,13.6,-55.335,0,0,324
70.5,8.793,13.2,-55.382,0,0,324
72,8.536,14.2,-55.314,0,0,324
72,8.164,14.9,-55.298,0,0,324
70.5,8.252,15.1,-55.47,0,0,324
72,7.58,15,-55.444,0,0,324
71,8.032,15,-55.466,0,0,324
71.5,8.388,15.2,-55.419,0,0,324
73.5,8.328,15.3,-55.338,0,0,324
73.5,8.204,15.2,-55.325,0,0,324
71,8.676,15.3,-55.434,0,0,324
72.5,8.796,15.5,-55.382,0,0,324
75,8.978,15.6,-55.316,0,0,324
75.5,8.8,15.6,-55.329,0,0,324
78.5,8.842,15.7,-55.474,0,0,324
78,8.91,15.7,-55.342,0,0,324
78.5,9.208,15.8,-55.491,0,0,324
78,9.137,15.9,-55.346,0,0,324
77,9.336,15.9,-55.269,0,0,324
75,9.517,16.1,-55.427,11.994,0,324
73,10.622,16.6,-55.406,47.975,0,324
72.5,11.501,16.4,-55.363,23.988,0,324
70.5,12.349,17.2,-55.381,83.95,0,56
67,13.36,18.9,-55.323,83.95,0.706,92.996
60.25,14.366,20.3,-55.253,95.95,0,120.5
56.962,15.302,21.8,-55.402,191.9,1.114,148.208
57.212,15.334,22.6,-55.323,173.9,0.909,89.852
55.75,15.505,21.1,-55.353,125.95,1.012,112.14
55.712,15.38,19.1,-55.404,83.95,0.101,120.924
54.82,15.8,18.9,-55.474,143.9,1.216,103.568
50.962,16.165,19.2,-55.322,137.9,0.202,126.424
47.75,16.977,20.1,-55.259,149.9,0,109.5
45.712,16.565,19.4,-55.272,89.95,0.202,126.424
45.75,16.669,19.2,-55.497,107.95,0,143
44.5,16.736,18.6,-55.444,77.95,0,213
45.25,16.603,19.1,-55.384,59.975,0,210
46.75,16.308,19.4,-55.409,35.975,0,210
